State,Rate,Year
North Dakota,2.9,2013
Nebraska,3.8,2013
South Dakota,3.8,2013
Vermont,4.4,2013
Utah,4.6,2013
Iowa,4.7,2013
Wyoming,4.7,2013
Hawaii,4.9,2013
Minnesota,5,2013
New Hampshire,5.1,2013
Kansas,5.3,2013
Oklahoma,5.3,2013
Montana,5.4,2013
Virginia,5.7,2013
Idaho,6.1,2013
Texas,6.3,2013
Maine,6.6,2013
Maryland,6.6,2013
Delaware,6.7,2013
Louisiana,6.7,2013
Massachusetts,6.7,2013
Missouri,6.7,2013
Wisconsin,6.7,2013
West Virginia,6.8,2013
Colorado,6.9,2013
New Mexico,6.9,2013
Alaska,7,2013
Washington,7,2013
Alabama,7.2,2013
Arkansas,7.2,2013
Florida,7.2,2013
Pennsylvania,7.4,2013
Ohio,7.5,2013
South Carolina,7.6,2013
Arizona,7.7,2013
Indiana,7.7,2013
New York,7.7,2013
Connecticut,7.8,2013
Tennessee,7.8,2013
Oregon,7.9,2013
Kentucky,8,2013
North Carolina,8,2013
Georgia,8.2,2013
New Jersey,8.2,2013
District of Columbia,8.5,2013
Mississippi,8.5,2013
Michigan,8.8,2013
California,8.9,2013
Illinois,9,2013
Rhode Island,9.3,2013
Nevada,9.6,2013
North Dakota,2.7,2014
Nebraska,3.3,2014
South Dakota,3.4,2014
Utah,3.8,2014
Vermont,4,2014
Wyoming,4.1,2014
Iowa,4.2,2014
Minnesota,4.2,2014
New Hampshire,4.3,2014
Hawaii,4.4,2014
Kansas,4.5,2014
Oklahoma,4.5,2014
Montana,4.7,2014
Idaho,4.9,2014
Colorado,5,2014
Texas,5.1,2014
Virginia,5.2,2014
Wisconsin,5.4,2014
Maine,5.6,2014
Delaware,5.7,2014
Massachusetts,5.7,2014
Maryland,5.8,2014
Ohio,5.8,2014
Pennsylvania,5.9,2014
Arkansas,6,2014
Indiana,6,2014
Missouri,6.1,2014
Washington,6.1,2014
Florida,6.3,2014
New York,6.3,2014
North Carolina,6.3,2014
Louisiana,6.4,2014
Kentucky,6.5,2014
South Carolina,6.5,2014
Connecticut,6.6,2014
Tennessee,6.6,2014
West Virginia,6.6,2014
New Mexico,6.7,2014
Alabama,6.8,2014
Arizona,6.8,2014
New Jersey,6.8,2014
Oregon,6.8,2014
Alaska,6.9,2014
Georgia,7.1,2014
Illinois,7.1,2014
Michigan,7.2,2014
California,7.5,2014
Mississippi,7.5,2014
Rhode Island,7.7,2014
District of Columbia,7.8,2014
Nevada,7.9,2014
North Dakota,2.8,2015
Nebraska,3,2015
South Dakota,3.1,2015
New Hampshire,3.4,2015
Hawaii,3.6,2015
Utah,3.6,2015
Vermont,3.6,2015
Minnesota,3.7,2015
Iowa,3.8,2015
Colorado,3.9,2015
Idaho,4.2,2015
Kansas,4.2,2015
Montana,4.2,2015
Wyoming,4.3,2015
Maine,4.4,2015
Oklahoma,4.4,2015
Texas,4.4,2015
Virginia,4.5,2015
Wisconsin,4.5,2015
Indiana,4.8,2015
Massachusetts,4.8,2015
Delaware,4.9,2015
Ohio,4.9,2015
Arkansas,5,2015
Missouri,5,2015
Maryland,5.1,2015
Kentucky,5.3,2015
New York,5.3,2015
Pennsylvania,5.3,2015
Michigan,5.4,2015
Florida,5.5,2015
Oregon,5.6,2015
Tennessee,5.6,2015
Connecticut,5.7,2015
North Carolina,5.7,2015
Washington,5.7,2015
New Jersey,5.8,2015
Georgia,6,2015
Illinois,6,2015
Rhode Island,6,2015
South Carolina,6,2015
Alabama,6.1,2015
Arizona,6.1,2015
California,6.2,2015
Louisiana,6.3,2015
Mississippi,6.4,2015
Alaska,6.5,2015
New Mexico,6.5,2015
West Virginia,6.7,2015
Nevada,6.8,2015
District of Columbia,6.9,2015
Hawaii,2.9,2016
New Hampshire,2.9,2016
South Dakota,3,2016
Nebraska,3.1,2016
North Dakota,3.1,2016
Vermont,3.2,2016
Colorado,3.3,2016
Utah,3.4,2016
Iowa,3.6,2016
Idaho,3.8,2016
Maine,3.8,2016
Arkansas,3.9,2016
Massachusetts,3.9,2016
Minnesota,3.9,2016
Kansas,4,2016
Wisconsin,4,2016
Montana,4.1,2016
Virginia,4.1,2016
Indiana,4.4,2016
Maryland,4.4,2016
Delaware,4.5,2016
Missouri,4.6,2016
Texas,4.6,2016
Tennessee,4.7,2016
Florida,4.8,2016
New York,4.8,2016
Oklahoma,4.8,2016
Oregon,4.8,2016
Michigan,5,2016
New Jersey,5,2016
Ohio,5,2016
South Carolina,5,2016
Connecticut,5.1,2016
